Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,AssociationFeeFrequency,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,MlsStatus,AttachedGarageYN,ParkingTotal,PropertySubType,LotSizeAcres,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,StateOrProvince,FireplaceYN,Stories,Levels,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,CloseMonth
"Carpet,Tile",True,False,False,False,965000.0,1102630094,2025-03-10,1018000.0,34.221622,-118.35375,10222 Roscoe Boulevard,Residential,1283.0,965000.0,8,PG & Associates Inc,None,1102630094.0,SUNV - Sun Valley,Los Angeles,Closed,True,2,SingleFamilyResidence,0.1525,1956,10222.0,SR25003450,2,Sun Valley,3,2025-03-10,2025-01-24,2025-01-10,CA,True,1,One,6645.0,1,False,2,Los Angeles Unified,91352,0.0,6645.0,2025-03
Unknown,True,False,False,False,2500000.0,1064728966,2024-06-25,2150000.0,33.5316435,-117.0330437,35725 Los Nogales Road,Residential,3884.0,2250000.0,71,Team Forss Realty Group,None,1064728966.0,SRCAR - Southwest Riverside County,Riverside,Closed,True,3,SingleFamilyResidence,4.55,2017,35725.0,SW24057639,5,Temecula,4,2024-06-25,2024-06-01,2024-03-22,CA,True,1,One,198198.0,4,False,3,Temecula Unified,92592,0.0,198198.0,2024-06
"Tile,Wood",True,False,False,False,1869000.0,1151460597,2026-03-11,1700000.0,34.0863,-118.387383,8969 Dicks Street,Residential,1102.0,1769000.0,27,Engel & Volkers Beverly Hills,None,1151460597.0,C10 - West Hollywood Vicinity,Los Angeles,Closed,False,0,SingleFamilyResidence,0.0773,1923,8969.0,26640173,2,West Hollywood,2,2026-03-11,2026-02-18,2026-01-22,CA,True,1,One,3368.0,3,False,2,Unknown,90069,0.0,3368.0,2026-03
"Carpet,Vinyl",False,False,False,False,590490.0,1150318804,2026-03-27,609665.0,33.669884,-117.113723,31443 Water Oak Drive,Residential,1576.0,590490.0,16,D R Horton America's Builder,None,1150318804.0,SRCAR - Southwest Riverside County,Riverside,Closed,True,4,SingleFamilyResidence,0.1165,2025,31443.0,SW26002251,2,Winchester,3,2026-03-27,2026-01-27,2026-01-05,CA,False,1,One,5075.0,3,True,2,Perris Union High,92596,0.0,5075.0,2026-03
"Carpet,Tile",True,False,False,True,835000.0,1109460854,2025-10-01,750000.0,33.785964,-116.297757,78215 Sunrise Canyon Avenue,Residential,2561.0,750000.0,144,Harcourts Prime Properties,Monthly,1109460854.0,307 - Sun City,Riverside,Closed,True,3,SingleFamilyResidence,0.2,2001,78215.0,OC25038607,3,Palm Desert,3,2025-10-01,2025-08-19,2025-03-28,CA,True,1,One,8712.0,3,False,3,Riverside Unified,92211,413.66,8712.0,2025-10
Unknown,True,False,False,False,2239000.0,1064877681,2024-05-02,2210000.0,32.7708288,-117.102477,5150 Bristol Road,Residential,3271.0,2239000.0,16,Tristani Real Estate,None,1064877681.0,92116 - Normal Heights,San Diego,Closed,False,4,SingleFamilyResidence,0.1322,1945,5150.0,240006435SD,4,San Diego,4,2024-05-02,2024-04-25,2024-03-26,CA,True,2,Two,5757.0,3,False,2,Unknown,92116,0.0,5757.0,2024-05
"Carpet,Vinyl",True,False,False,False,999000.0,1155765444,2026-04-20,1033500.0,34.164213000000004,-118.455744,14813 Hartsook,Residential,1056.0,999000.0,7,Rodeo Realty,None,1155765444.0,SO - Sherman Oaks,Los Angeles,Closed,False,0,SingleFamilyResidence,0.155,1947,14813.0,SR26050475,2,Sherman Oaks,2,2026-04-20,2026-03-31,2026-03-24,CA,True,1,One,6750.0,2,False,0,Los Angeles Unified,91403,0.0,6750.0,2026-04
Unknown,True,False,False,False,685000.0,1149431392,2026-02-05,670000.0,34.424443,-118.475971,27718 Camp Plenty,Residential,1144.0,685000.0,29,"CA Flat Fee Listings, Inc",None,1149431392.0,CAN1 - Canyon Country 1,Los Angeles,Closed,True,2,SingleFamilyResidence,0.1413,1961,27718.0,AR25276260,2,Canyon Country,3,2026-02-05,2026-01-13,2025-12-11,CA,False,1,One,6153.0,3,False,2,William S. Hart Union,91351,0.0,6153.0,2026-02
Unknown,False,False,False,False,890000.0,1073329104,2024-05-29,890000.0,32.6284143,-117.0270511,779 Cholla Rd,Residential,2074.0,900000.0,9,Regent Properties of San Diego,None,1073329104.0,91910 - Chula Vista,San Diego,Closed,False,4,SingleFamilyResidence,0.2044,1979,779.0,240009834SD,3,Chula Vista,4,2024-05-29,2024-05-15,2024-05-04,CA,True,2,Two,8905.0,3,False,2,Unknown,91910,0.0,8905.0,2024-05
Vinyl,False,False,False,False,1268000.0,1108529888,2025-05-02,1195888.0,33.780716,-117.968567,12531 Mabee Circle,Residential,1694.0,1195888.0,25,Superior Real Estate Group,None,1108529888.0,"64 - Garden Grove E of Euclid, W of Harbor",Orange,Closed,True,2,SingleFamilyResidence,0.1894,1954,12531.0,PW25054291,2,Garden Grove,3,2025-05-02,2025-04-07,2025-03-11,CA,True,1,"One,ThreeOrMore",8250.0,3,False,2,Garden Grove Unified,92841,0.0,8250.0,2025-05
