Flooring,ViewYN,WaterfrontYN,BasementYN,PoolPrivateYN,OriginalListPrice,Latitude,Longitude,LivingArea,ListPrice,DaysOnMarket,MLSAreaMajor,AttachedGarageYN,ParkingTotal,LotSizeAcres,YearBuilt,BathroomsTotalInteger,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,CountyOrParish_Alameda,CountyOrParish_Alpine,CountyOrParish_Amador,CountyOrParish_Butte,CountyOrParish_Calaveras,CountyOrParish_Clark,CountyOrParish_Colusa,CountyOrParish_Contra Costa,CountyOrParish_Del Norte,CountyOrParish_El Dorado,CountyOrParish_Foreign Country,CountyOrParish_Fresno,CountyOrParish_Glenn,CountyOrParish_Humboldt,CountyOrParish_Imperial,CountyOrParish_Inyo,CountyOrParish_Kern,CountyOrParish_Kings,CountyOrParish_Lake,CountyOrParish_Lassen,CountyOrParish_Los Angeles,CountyOrParish_Madera,CountyOrParish_Marin,CountyOrParish_Mariposa,CountyOrParish_Mendocino,CountyOrParish_Merced,CountyOrParish_Modoc,CountyOrParish_Mono,CountyOrParish_Monterey,CountyOrParish_Napa,CountyOrParish_Nevada,CountyOrParish_Orange,CountyOrParish_Other,CountyOrParish_Other County,CountyOrParish_Other State,CountyOrParish_Placer,CountyOrParish_Plumas,CountyOrParish_Riverside,CountyOrParish_Sacramento,CountyOrParish_San Benito,CountyOrParish_San Bernardino,CountyOrParish_San Diego,CountyOrParish_San Francisco,CountyOrParish_San Joaquin,CountyOrParish_San Luis Obispo,CountyOrParish_San Mateo,CountyOrParish_Santa Barbara,CountyOrParish_Santa Clara,CountyOrParish_Santa Cruz,CountyOrParish_Shasta,CountyOrParish_Sierra,CountyOrParish_Siskiyou,CountyOrParish_Solano,CountyOrParish_Sonoma,CountyOrParish_Stanislaus,CountyOrParish_Sutter,CountyOrParish_Tehama,CountyOrParish_Trinity,CountyOrParish_Tulare,CountyOrParish_Tuolumne,CountyOrParish_Ventura,CountyOrParish_Yolo,CountyOrParish_Yuba,Levels_MultiSplit,"Levels_MultiSplit,One",Levels_One,"Levels_One,MultiSplit","Levels_One,ThreeOrMore","Levels_One,Two","Levels_One,Two,MultiSplit","Levels_One,Two,ThreeOrMore","Levels_One,Two,ThreeOrMore,MultiSplit",Levels_ThreeOrMore,"Levels_ThreeOrMore,MultiSplit","Levels_ThreeOrMore,One",Levels_Two,"Levels_Two,MultiSplit","Levels_Two,One","Levels_Two,ThreeOrMore","Levels_Two,ThreeOrMore,MultiSplit",Levels_Unknown,AssociationFeeFrequency_Annually,AssociationFeeFrequency_Monthly,AssociationFeeFrequency_None,AssociationFeeFrequency_Quarterly,AssociationFeeFrequency_SemiAnnually,ClosePrice
"Carpet,Tile",True,False,False,False,965000.0,34.221622,-118.35375,1283.0,965000.0,8,SUNV - Sun Valley,True,2,0.1525,1956,2,3,CA,True,1,6645.0,1,False,2,Los Angeles Unified,0.0,6645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1018000.0
Unknown,True,False,False,False,2500000.0,33.5316435,-117.0330437,3884.0,2250000.0,71,SRCAR - Southwest Riverside County,True,3,4.55,2017,5,4,CA,True,1,198198.0,4,False,3,Temecula Unified,0.0,198198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2150000.0
"Tile,Wood",True,False,False,False,1869000.0,34.0863,-118.387383,1102.0,1769000.0,27,C10 - West Hollywood Vicinity,False,0,0.0773,1923,2,2,CA,True,1,3368.0,3,False,2,Unknown,0.0,3368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1700000.0
"Carpet,Vinyl",False,False,False,False,590490.0,33.669884,-117.113723,1576.0,590490.0,16,SRCAR - Southwest Riverside County,True,4,0.1165,2025,2,3,CA,False,1,5075.0,3,True,2,Perris Union High,0.0,5075.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,609665.0
"Carpet,Tile",True,False,False,True,835000.0,33.785964,-116.297757,2561.0,750000.0,144,307 - Sun City,True,3,0.2,2001,3,3,CA,True,1,8712.0,3,False,3,Riverside Unified,413.66,8712.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,750000.0
Unknown,True,False,False,False,2239000.0,32.7708288,-117.102477,3271.0,2239000.0,16,92116 - Normal Heights,False,4,0.1322,1945,4,4,CA,True,2,5757.0,3,False,2,Unknown,0.0,5757.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2210000.0
"Carpet,Vinyl",True,False,False,False,999000.0,34.164213000000004,-118.455744,1056.0,999000.0,7,SO - Sherman Oaks,False,0,0.155,1947,2,2,CA,True,1,6750.0,2,False,0,Los Angeles Unified,0.0,6750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1033500.0
Unknown,True,False,False,False,685000.0,34.424443,-118.475971,1144.0,685000.0,29,CAN1 - Canyon Country 1,True,2,0.1413,1961,2,3,CA,False,1,6153.0,3,False,2,William S. Hart Union,0.0,6153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,670000.0
Unknown,False,False,False,False,890000.0,32.6284143,-117.0270511,2074.0,900000.0,9,91910 - Chula Vista,False,4,0.2044,1979,3,4,CA,True,2,8905.0,3,False,2,Unknown,0.0,8905.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,890000.0
Vinyl,False,False,False,False,1268000.0,33.780716,-117.968567,1694.0,1195888.0,25,"64 - Garden Grove E of Euclid, W of Harbor",True,2,0.1894,1954,2,3,CA,True,1,8250.0,3,False,2,Garden Grove Unified,0.0,8250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1195888.0
"Laminate,Tile,Wood",True,False,False,False,1688888.0,37.39330037,-121.86263375,1667.0,1638888.0,17,699 - Not Defined,True,2,0.1377,1973,2,3,CA,True,1,6000.0,3,False,2,Other,0.0,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1638000.0
Unknown,True,False,False,False,2429000.0,32.9216138,-117.1047518,3678.0,2429000.0,11,92131 - Scripps Miramar,True,7,0.1664,2001,4,5,CA,True,2,7102.0,3,False,3,Unknown,45.0,7249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2429000.0
Tile,True,False,False,False,420000.0,33.734672,-116.23086,1404.0,420000.0,24,699 - Not Defined,True,4,0.16,1968,2,4,CA,False,1,6969.0,3,False,2,Unknown,0.0,6969.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,395000.0
"Carpet,Vinyl",False,False,False,False,629999.0,33.9495509,-117.3943048,1272.0,609999.0,60,252 - Riverside,True,2,0.15,1952,1,3,CA,False,1,6534.0,3,False,2,Riverside Unified,0.0,6534.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,610000.0
"Tile,Wood",True,False,False,True,3995000.0,33.397354,-117.59736,3336.0,3995000.0,13,SW - San Clemente Southwest,True,3,0.1655,1987,3,4,CA,True,2,7210.0,1,False,3,Capistrano Unified,468.0,7210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4400000.0
"Laminate,Tile",False,False,False,False,615000.0,37.98292067,-121.84297082,1485.0,615000.0,11,Unknown,True,2,0.2112,1986,2,3,CA,True,1,9200.0,3,False,2,Unknown,0.0,9200.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,615000.0
Laminate,True,False,False,False,799000.0,35.321721000000004,-120.830248,1064.0,799000.0,4,OSOS - Los Osos,True,2,0.1076,1977,2,3,CA,False,1,4687.0,3,False,2,San Luis Coastal Unified,0.0,4687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,850000.0
Unknown,True,False,False,False,899000.0,33.820036,-117.931227,1295.0,899000.0,25,79 - Anaheim West of Harbor,True,2,0.172,1954,2,4,CA,False,1,7493.0,3,False,2,Unknown,0.0,7493.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,915000.0
"Tile,Vinyl",True,False,False,False,999000.0,35.0101,-120.487953,2971.0,999000.0,9,NPMO - Nipomo,False,11,0.84,1963,5,6,CA,True,1,36590.0,6,False,2,Lucia Mar Unified,0.0,36590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1150000.0
Unknown,False,False,False,True,999000.0,32.779779,-116.929637,1938.0,999000.0,3,92019 - El Cajon,True,2,0.4821,1979,3,5,CA,True,2,21000.0,1,False,2,Cajon Valley Union,0.0,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1050000.0
Laminate,True,False,False,False,1395000.0,37.07374332,-121.60811872,1989.0,1395000.0,9,699 - Not Defined,True,2,2.36,1979,2,3,CA,True,1,102801.0,3,False,2,Other,0.0,102801.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1510000.0
Wood,False,False,False,False,1999000.0,34.001699,-118.462763,1563.0,1999000.0,17,C11 - Venice,True,2,0.1351,1956,3,2,CA,True,1,5886.0,3,False,2,Unknown,0.0,5886.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1999000.0
Wood,True,False,False,False,590000.0,33.924157,-117.494026,1756.0,590000.0,9,252 - Riverside,True,2,0.06,2012,3,4,CA,False,2,2614.0,0,False,2,Alvord Unified,205.0,2614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,601000.0
Carpet,True,False,True,False,4350000.0,37.43479823,-122.43909188,5000.0,4350000.0,10,699 - Not Defined,True,3,0.3315,1994,4,4,CA,True,1,14441.0,3,False,3,Other,576.0,14441.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4350000.0
"Carpet,Stone,Tile,Wood",True,False,False,False,455000.0,34.624541,-117.83871299999998,1970.0,455000.0,29,LAC - Lancaster,True,12,0.9766,1985,3,4,CA,True,1,42539.0,4,False,2,Antelope Valley Union,0.0,42539.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,470000.0
"Tile,Wood",False,False,False,False,1749000.0,34.165859000000005,-118.118165,2520.0,1749000.0,11,646 - Pasadena (NE),False,2,0.1779,1950,4,4,CA,True,2,7750.0,2,False,2,Unknown,0.0,7750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2150000.0
Tile,False,False,False,False,1050000.0,33.619545,-117.742759,1120.0,1050000.0,11,S2 - Laguna Hills,True,2,0.1212,1973,2,3,CA,True,1,5280.0,3,False,2,Saddleback Valley Unified,0.0,5280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1110000.0
